age,balance,housing,contact,duration,campaign,y
30,1787,no,cellular,79,1,no
33,4789,yes,cellular,220,1,no
35,1350,yes,cellular,185,1,no
30,1476,yes,unknown,199,4,no
59,0,yes,unknown,226,1,no
35,747,no,cellular,141,2,no
36,307,yes,cellular,341,1,no
39,147,yes,cellular,151,2,no
41,221,yes,unknown,57,2,no
43,-88,yes,cellular,313,1,no
39,9374,yes,unknown,273,1,no
43,264,yes,cellular,113,2,no
36,1109,no,cellular,328,2,no
20,502,no,cellular,261,1,yes
31,360,yes,cellular,89,1,no
40,194,no,cellular,189,2,no
56,4073,no,cellular,239,5,no
37,2317,yes,cellular,114,1,no
25,-221,yes,unknown,250,1,no
31,132,no,cellular,148,1,no
38,0,yes,cellular,96,2,no
42,16,no,cellular,140,3,no
44,106,no,unknown,109,2,no
44,93,no,cellular,125,2,no
26,543,no,cellular,169,3,no
41,5883,no,cellular,182,2,no
55,627,yes,unknown,247,1,no
67,696,no,telephone,119,1,no
56,784,no,cellular,149,2,no
53,105,no,cellular,74,2,no
68,4189,no,telephone,897,2,yes
31,171,no,cellular,81,3,no
59,42,no,cellular,40,1,no
32,2536,yes,cellular,958,6,yes
49,1235,no,cellular,354,3,yes
42,1811,yes,unknown,150,1,no
78,229,no,telephone,97,1,yes
32,2089,yes,cellular,132,1,yes
33,3935,yes,cellular,765,1,yes
23,363,yes,unknown,16,18,no
38,11971,yes,unknown,609,2,no
36,553,no,cellular,106,2,no
52,1117,yes,cellular,365,1,no
32,396,yes,cellular,205,3,no
32,2204,yes,cellular,11,4,no
34,872,yes,unknown,105,2,no
55,145,no,telephone,59,3,no
26,0,yes,unknown,425,1,no
32,-849,yes,cellular,204,1,no
61,4629,yes,cellular,181,1,yes
45,844,no,unknown,1018,3,yes
37,228,yes,cellular,1740,2,no
38,50,no,cellular,98,2,no
34,1539,yes,cellular,441,1,yes
53,2231,yes,cellular,272,3,no
48,3064,yes,telephone,159,2,no
57,82,no,telephone,140,1,no
33,2155,no,cellular,295,1,no
36,101,yes,unknown,314,1,no
54,784,yes,unknown,579,1,no
41,-516,no,telephone,554,3,no
63,415,yes,cellular,323,1,no
48,5887,no,cellular,227,2,no
48,1355,no,cellular,134,2,no
56,16873,no,cellular,223,1,no
51,203,yes,cellular,134,1,no
31,338,yes,cellular,155,1,no
29,444,yes,cellular,130,4,no
41,0,no,cellular,630,3,no
32,360,no,cellular,164,2,no
37,0,no,cellular,268,2,yes
42,2,yes,unknown,380,1,no
31,6248,yes,unknown,154,2,no
41,412,yes,unknown,154,5,no
56,344,yes,unknown,221,1,no
54,3222,no,cellular,67,2,no
41,174,yes,cellular,367,2,no
40,591,no,cellular,87,6,no
50,388,no,cellular,701,1,no
40,219,yes,cellular,204,2,no
27,451,yes,cellular,652,1,yes
60,5,no,cellular,63,2,no
28,177,yes,cellular,150,1,no
52,657,no,telephone,398,2,yes
37,1315,no,cellular,224,1,yes
51,1466,yes,unknown,406,2,no
41,879,no,cellular,60,4,no
35,293,yes,unknown,521,2,no
38,424,yes,cellular,279,1,no
34,1831,yes,unknown,203,2,no
39,111,no,cellular,201,2,no
34,455,yes,unknown,372,3,no
27,-195,yes,cellular,391,1,yes
32,3616,no,cellular,165,2,no
57,14093,no,cellular,231,5,no
41,1567,no,cellular,291,2,no
41,5426,yes,unknown,149,2,no
30,261,no,cellular,233,1,no
36,2843,no,cellular,473,1,no
31,406,no,cellular,736,1,yes
36,0,yes,unknown,337,1,no
38,493,yes,cellular,553,1,no
49,5996,no,telephone,345,2,no
57,3777,yes,telephone,65,2,no
34,524,no,unknown,9,1,no
32,574,yes,cellular,259,2,no
